text,label
"After a decade of progress, the rate of uninsured children is now rising.",1
"Says the ""1986 Vaccine protection act"" resulted in ""the biggest jump in shots"" for children because it gave drug manufacturers ""exemption for responsibility of killing people.",0
"The federal government has ""77 different means-tested social welfare programs.",1
"The identification on Feb. 26, 2020, of a patient with COVID-19 & no travel history, indicated the likelihood of community spread. Until late Feb., #COVID19 incidence was too low to be detected by emergency department surveillance. More from @CDCMMWR:  http://bit.ly/MMWR52920 . pic.twitter.com/0JeFWOwRmM",1
"As a result of welfare reform, ""poverty levels went down to the lowest level ever for ... African-American children.",0
"$258,000/month: Amount Blake Griffin will pay in child support to ex Brynn Cameron.",0
 Video of Byculla (Maharashtra) MLA Waris Pathan threatening Police to open a mosque during the existing lockdown impplemented to contain COVID-19 spread.		,0
The top 1 percent pay 45 percent of all taxes in the country.,0
"Among Syrian refugees, ""there aren't that many women, there aren't that many children.",0
 There is no coronavirus. The Chinese were secretly working on a biological agent that was supposed to make protesters docile and obedient.		,0
"Milwaukee County taxpayers paid $370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use ""untrained corrections officers"" rather than deputies to patrol the lakefront.",0
"The Christmas Day explosion in Nashville, Tenn., was the result of a ""missile strike.",0
"Four North Carolina Republicans made ""campaign promises"" to protect reproductive rights",0
"Video proves ""space is fake.",0
"The gender gap in his support is ""not unique to me"" and ""there's not a huge gap from where Republicans have been in presidential, gubernatorial and US Senate elections"" in recent years.",1
Video shows Hillary Clinton dressed as a space cult leader in a satanic ritual.,0
Suzanne Bonamici was the only no vote on a 2009 bill cracking down on drunk drivers.,1
Says this poem about people staying home was written by Kathleen O'Mara in 1869.,0
COVID-19 takes unequal toll on immigrants in Nordic region  https://uk.reuters.com/article/uk-health-coronavirus-norway-immigrants-idUKKCN2260Y2?taid=5ea2c0e9e15385000193755b&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter  pic.twitter.com/GwWUYaPGAl,1
"Says Marilinda Garcia supports ""$150 billion in new taxes.",0
"Says a ""fact check"" shows that Nancy Pelosi moved ""billions of Social Security funds to cover impeachment costs.",0
WHO now saying you do not need to wear a mask.,0
"Says Gov. Scott Walker ""took away $1.6 billion from schools and handed it off as over $2 billion in tax breaks to the rich.",0
Why did the US (NIH) in 2017 give $3.7m to the Wuhan Lab in China? Such grants were prohibited in 2014. Did Pres. Obama grant an exception?,0
Says an image shows a photo of hurricane-ravaged Abaco Island in the Bahamas.,0
The Democrats are pushing for Universal HealthCare while thousands of people are marching in the UK because their U system is going broke and not working.,0
"Parents that go to school board meetings"" and question the curriculum are being ""flagged by the Department of Justice and the FBI for attending a meeting.",0
"During the last five years, Iran has perpetrated terror attacks in 25 different countries on five continents.",0
"Says that in the Philippines more than a century ago, Gen. John Pershing ""took 50 bullets, and he dipped them in pigs' blood,"" and shot 49 Muslim rebels. ""The 50th person, he said, 'You go back to your people, and you tell them what happened.' And for 25 years, there wasn't a problem.",0
"President Obama, Sen. Harry Reid and Rep. Nancy Pelosi passed a ""$1.2 trillion stimulus bill.",0
"Antony Blinken ""confesses that Biden"" is responsible for the Nord Stream pipeline leaks.",0
"The New York City Police Department arrested a 9-year-old ""because she didn't have a vaccine card in the museum.",0
"Says Gov. Rick Scott ""cut nearly $1 million from mosquito control and closed down the state's mosquito research lab a few years ago.",0
DMX received COVID vaccine days before heart attack.,0
Obama put a 10 percent tax on tanning.,1
"First, he said he would leave residual forces in Iraq, and now he says he wouldn't.",1
"Medicaid is close to 30 percent of the state budget and ""the biggest expenditure at the state.",1
"If the experiences in Colorado and Washington are the experiences we have here, roadway deaths are going to go up, impaired driving is likely to go up.",0
"We've been able to create about 60,000 net new jobs"" in Virginia since February.",1
"Says an image of armed anti-lockdown protesters and an image of unarmed Minneapolis protesters being tear gassed were taken in the ""same state, same month.",0
"The Indian Plumbing Skills Council is continuing to build a database of plumbers who want to work during the COVID-19 crisis.
#COVID19 #plumbing https://trib.al/H1vwRKo ",1
 An image shows a Spanish scientist asking Cristiano Ronaldo and Messi to find the cure for COVID-19.		,0
"Every Republican nominee since Richard Nixon, who at one time was under an audit, has released their tax returns.",1
"Siobhan Dunnavant ""wrote the Republican bill that would let insurance companies deny coverage for pre-existing conditions.",0
"All legislative mail, from the content to the timing, is approved by the speaker's office.",0
"Under new Illinois law, these crimes are ""nondetainable"": ""Burglary, robbery, arson, kidnapping, DUI offenses, even DUI involving a fatality, most drug offenses, and even 2nd degree murder.",0
 Central indian government likely to reduce the age of retirement of government employees to 50.		,0
"Says ""One of the state's largest governments made charging this tax one of their top priorities just this year.",0
North Carolina is among some of the top states in the country for the number of ghost guns that are seized as crime guns.,1
Says Milwaukee County Parks director Sue Black has not received a pay raise in five years.,1
